,sentence
0,Era yayokebwa bwokebwa.
1,Ekkolero erikola sabbuuni lijja kuteekebwawo mu kibangirizi.
2,Nkakasa nti ono omwana tannaweza myaka egitulagirwa omuntu okumukkiriza.
3,Abakwasi b'enseenene bakozesa amataala okuzisikiriza ekiro.
4,Bwe gutaba mwenge mu kkanisa ya Mukama.
5,Ebintu bya Uganda byonna binyuma.
6,Abavuzi ba biroole abalina akawuka ka kolona beeyongedde okuyingira mu ggwanga.
7,Basoosa omunafu ne basembyayo ow’amaanyi ng'abapena bakooye.
8,Obubaka bwakungaanyizibwa okuyita mu ngeri bbiri.
9,Ebyo eby'okuzimba binajja nga tumaze okuzaala.
10,Okimanyi nti nsobola okukukubira enduulu nti oyagala kumpamba!
11,Abakulembeze ba Uganda balina omwoyo gw'eggwanga.
12,Yafunira wa obuzibu bwe butyo?
13,Omujaasi ow’emmundu tomalanga gamuzannyirako.
14,Omuwala oyo yatonderwamu amagi kafukunya ng'akaagula Mukono.
15,Kituyambye okufuna obumanyirivu mu buweereza n'obukulembeze.
16,Baalagirizaayo eccupa za bbiya ssatu.
17,Yali yasiba akaleediyo ku ppiki nga kagenda kabuukula.
18,Omukyala yagamba nti ebyo katubireke y’anaamanya.
19,"Okuumanga abaana bange bonna, abajjwa n'abazzukulu"
20,"Agamba nti bano olwalabye nga Engenyi afudde, famire yonna n'edduka kati baliira ku nsiko."
21,Omwogezi w'ekibiina Okeler Opio bw'agambye.
22,Kino kitegeeza nti oludda oluvuganya lwalemeddwa okukkaanya.
23,Kkooti egonjoola enkaayana ku ttaka.
24,Ekitundu kijja kuba kinywevu okuggyako singa abantu bakiriza okwegatta.
25,Empetero ly’Ekkoona.
26,Abayizi ba ddembe obutakola bibuuzo by'akamalirizo.
27,Obutonde bw’omukazi tebumuganya kuvuga ggaali.
28,"Omusajja oyo yakambuwala, era buli mukazi gw’awasa amulemererwa."
29,Olowooza okuba n'obulwadde bwa ssukaali kiva mu kunywa ssukaali mungi.
30,Gano ge mannya asatu agayitibwa abakubi b’amadinda nga bagakuba.
31,"Obukozi bwe nno obwo, bwamuleetera emikisa nkuyanja."
32,Mu ntalo ze yalina n’Abanyoro.
33,Olugero luno lulabula bantu butaba na mululu guyitiridde
34,Ensonga ki enkulu ze nnoonya mu kusoma kuno?
35,Amalwaliro ag'obwannannyini bulijjo ga bbeeyi eri abalwadde abamu okugasobola.
36,Weewaawo ensangi zino eriyo n’obumyufu.
37,Kubanga aba yeetisse omwana atali wa kika ekyo.
38,Olukungaana luno lwakutuula okumala ennaku nnya e Munyonyo.
39,"Kati lumu tuba tuli mu kkanisa nga tusaba, omusumba ng'ayimba oluyimba olugamba nti."
40,Yakonkonamu gumu eyali munda n’aggulawo.
41,Ani asobola okukwatibwa ssennyiga omukambwe?
42,"Bano bagamba nti, baagala kuwagira munnakibiina kya National Unity Platform , Robert Kyagulanyi Ssentamu."
43,Ggoofu azannyibwa bantu babanguseeko ate nga balina emirimu egibasasula obulungi.
44,Ensobi ekolebwa muntu.
45,Oluusi baayinzanga n’okuleeta olugoye lwa Jjajja w’omuwala azaala kitaawe.
46,Enneeyisa ya munnabyamizannyo y'evaako obuwanguzi bwe n'okuwangulwa kwe.
47,Ssaako n’okukwasa ennyumba bbiri eri abeetaaga okuweebwa mu ssaza Kkooki.
48,Nga bo beesibye mu nkula yaabwe.
49,Ako kaba katiko.
50,"Musaayimuto era eyeesimbyewo ku bwapulezidenti, John Katumba, ali mu kattu n'aba pollisi."
51,Ku lwokuna yayogera ku nsonga y’ekibbattaka ekisusse e Mukono.
52,Buli kiseera ekibeera ku Nnamunswa guba mwaka gwamaze kunsi.
53,Emirambo okusinga giterekebwa mu ggwanika.
54,Ebigobererwa ebipya bigenda byanjulibwa mu masomero gonna.
55,Ekinnya ekisimibwa okwetooloola ekibanja nga kitangira nsolo.
56,Emirundi mingi nnawawaabirwanga ew'omukulu w'essomero obusangosango omutali nsa.
57,Mu kiseera ekyo entalo z'ekiyeekera zaatandika era mu byalo zaaleka abantu bangi ze mbuyaga.
58,Abasawo bajja ku kwasaganya emirimu gy'obusawo nga bakozesa obuggaali.
59,Ssente ze twafunanga twazikolamu bizinensi ez’enjawulo.
60,Wooteeri n'amabaala agaliraanye ebisaawe gakola ssente nnyingi nga waliwo emizannyo gy'awaka.
61,Kino kye kijja okukutegeeza oba mu kusoma kwo ofunyeemu oba nedda.
62,Abantu bajja kusiima omulimu omulungi gw'okolera ekitundu.
63,Abanoonyi boobubudamu tebategeera nkola y'amateeka mu Uganda
64,Omuntu gwe bayita Bakubyefukundu ye oyo omumpi ennyo ng’ate munene.
65,Ebibiina by'abakozi bgatta abakozi nga waliwo obwetaavu.
66,Kansuubire bannamateeka ba Kyagulanyi banaawa omuntu waabwe amagezi obutaggyayo musango.
67,Yeewuunya engeri gy'ayinza okusobya ku muwala bw'atyo atanneetuuka.
68,Omuntu yandisuubidde ente enzirugavu eveemu amata amaddugavu naye ate laba bwe gaba ameeru.
69,Maama mulwadde era baamuwadde ekitanda.
70,Uganda y'esinza omuwendo gw'abanoonyiboobubudamu omungi mu Africa.
71,Tubadde ffena mu kibuga kino nga tuwagiragana era omukwano gwe nnina ne Fred gwe gundeese.
72,Mu kutya Katonda amagezi mwe gasookera.
73,Kawadwa ye muwandiisi w’emizannyo eyasooka mu ggwanga.
74,"Obunkenke n’ennyiike bisaanikidde emitima gy’abantu bangi, kikulu okwewala okubugutana."
75,Abajaasi ba Apollo Milton Obote baalumba Olubiri lw’e Mmengo.
76,Ggwanga ki ly'osomyeko Kayemba lye yawoolera?
77,Nasasuddwa eggulo.
78,Kalagibwa kabuka okuva wansi okudda waggulu okuva ku kkono okudda ku ddyo
79,Okuwabula ku birowoozo ebiwabya abantu ku kirwadde kino ekiriwo ekya ssennyiga omukambwe.
80,Abaana b'ennaku zino basaana kubuulirira nnyo.
81,Okubeera ennyo mu nnyumba kulwaza.
82,Ttiimu enoonyereza ku kukozesa obubi obuyambi obwaweebwayo.
83,Ababuulizi bajja kufuna obuvunaanyizibwa obw'ejawulo mu kkanisa.
84,Olumu baagenda ne bamufuulira ddala ng'atategeera.
85,Abalimi beetaaga amagezi ku mbeera y'obudde okubayambako okuteekateeka obulungi
86,Kyukyu muddo ogulina ekimuli kya Mukonzikonzi.
87,Okusobozesa okukola amangu ku ebyo byonna ebiba bisaliddwawo ebikwata ku bukuumi.
88,Abakulembeze bano baguze Satifikeeti za bukadde okuwagira emirimu gy'Obwakabaka.
89,Ekitundu kino kifuna abanoonyiboobubudamu bangi nnyo buli lunaku.
90,Akawuka akalumira ku lubimbi kalumya.
91,"Omuntu asaliddwa ogw’okufa, ensuwa kwaweerwa omwenge nga tannattibwa eyitibwa Kisugira."
92,Munne eyajja ye yamwaniriza mangu kubanga yali amumanyi.
93,Abalemererwa okusasula omusolo batanzibwa.
94,Entula eyengerera wansi w’omutula.
95,Ebyo byonna maama wa debula yali abiwulira.
96,Nnabanfudu ge yamala Nnababbubi.
97,nange nga mmuddamu nti nvuddeyo Jjajja naawe kulikayo nnyo.
98,Akakiiko kaayisa obubaka bw'abantu.
99,Ekkubo ly'engabi lugendo ate ery'embizzi?
